Alegría-Dulantzi,id01001
"Villajoyosa/Vila Joiosa, la",id03139
Villena,id03140
"Poblets, els",id03901
Pilar de la Horadada,id03902
"Montesinos, Los",id03903
San Isidro,id03904
Abla,id04001
Abrucena,id04002
Adra,id04003
Albánchez,id04004
Alboloduy,id04005
Albox,id04006
Alcolea,id04007
Alcóntar,id04008
Alcudia de Monteagud,id04009
Alhabia,id04010
Alhama de Almería,id04011
Alicún,id04012
Almería,id04013
Almócita,id04014
Alsodux,id04015
Antas,id04016
Arboleas,id04017
Armuña de Almanzora,id04018
Bacares,id04019
Bayárcal,id04020
Bayarque,id04021
Bédar,id04022
Beires,id04023
Benahadux,id04024
Benitagla,id04026
Benizalón,id04027
Bentarique,id04028
Berja,id04029
Canjáyar,id04030
Cantoria,id04031
Carboneras,id04032
Castro de Filabres,id04033
Cóbdar,id04034
Cuevas del Almanzora,id04035
Chercos,id04036
Chirivel,id04037
Dalías,id04038
Enix,id04041
Felix,id04043
Fines,id04044
Fiñana,id04045
Fondón,id04046
Gádor,id04047
"Gallardos, Los",id04048
Garrucha,id04049
Gérgal,id04050
Huécija,id04051
Huércal de Almería,id04052
Huércal-Overa,id04053
Illar,id04054
Instinción,id04055
Laroya,id04056
Láujar de Andarax,id04057
Líjar,id04058
Lubrín,id04059
Lucainena de las Torres,id04060
Lúcar,id04061
Macael,id04062
María,id04063
Mojácar,id04064
Nacimiento,id04065
Níjar,id04066
Ohanes,id04067
Olula de Castro,id04068
Olula del Río,id04069
Oria,id04070
Padules,id04071
Partaloa,id04072
Paterna del Río,id04073
Pechina,id04074
Pulpí,id04075
Purchena,id04076
Rágol,id04077
Rioja,id04078
Roquetas de Mar,id04079
Santa Cruz de Marchena,id04080
Santa Fe de Mondújar,id04081
Senés,id04082
Serón,id04083
Sierro,id04084
Somontín,id04085
Sorbas,id04086
Suflí,id04087
Tabernas,id04088
Taberno,id04089
Tahal,id04090
Terque,id04091
Tíjola,id04092
Turre,id04093
Turrillas,id04094
Uleila del Campo,id04095
Urrácal,id04096
Velefique,id04097
Vélez-Blanco,id04098
Vélez-Rubio,id04099
Vera,id04100
Viator,id04101
Vícar,id04102
Zurgena,id04103
"Tres Villas, Las",id04901
"Ejido, El",id04902
"Mojonera, La",id04903
Adanero,id05001
"Adrada, La",id05002
Albornos,id05005
Aldeanueva de Santa Cruz,id05007
Aldeaseca,id05008
"Aldehuela, La",id05010
Amavida,id05012
"Arenal, El",id05013
Arenas de San Pedro,id05014
Arevalillo,id05015
Arévalo,id05016
Aveinte,id05017
Avellaneda,id05018
Ávila,id05019
"Barco de Ávila, El",id05021
"Barraco, El",id05022
Barromán,id05023
Becedas,id05024
Becedillas,id05025
Bercial de Zapardiel,id05026
"Berlanas, Las",id05027
Bernuy-Zapardiel,id05029
Berrocalejo de Aragona,id05030
Blascomillán,id05033
Blasconuño de Matacabras,id05034
Blascosancho,id05035
"Bohodón, El",id05036
Bohoyo,id05037
Bonilla de la Sierra,id05038
Brabos,id05039
Bularros,id05040
Burgohondo,id05041
Cabezas de Alambre,id05042
Cabezas del Pozo,id05043
Cabezas del Villar,id05044
Cabizuela,id05045
Canales,id05046
Candeleda,id05047
Cantiveros,id05048
Cardeñosa,id05049
"Carrera, La",id05051
Casas del Puerto,id05052
Casasola,id05053
Casavieja,id05054
Casillas,id05055
Castellanos de Zapardiel,id05056
Cebreros,id05057
Cepeda la Mora,id05058
Cillán,id05059
Cisla,id05060
"Colilla, La",id05061
Collado de Contreras,id05062
Collado del Mirón,id05063
Constanzana,id05064
Crespos,id05065
Cuevas del Valle,id05066
Chamartín,id05067
Donjimeno,id05069
Donvidas,id05070
Espinosa de los Caballeros,id05072
Flores de Ávila,id05073
Fontiveros,id05074
Fresnedilla,id05075
"Fresno, El",id05076
Fuente el Saúz,id05077
Fuentes de Año,id05078
Gallegos de Altamiros,id05079
Gallegos de Sobrinos,id05080
Garganta del Villar,id05081
Gavilanes,id05082
Gemuño,id05083
Gilbuena,id05084
Gil García,id05085
Gimialcón,id05086
Gotarrendura,id05087
Grandes y San Martín,id05088
Guisando,id05089
Gutierre-Muñoz,id05090
Hernansancho,id05092
Herradón de Pinares,id05093
Herreros de Suso,id05094
Higuera de las Dueñas,id05095
"Hija de Dios, La",id05096
"Horcajada, La",id05097
Horcajo de las Torres,id05099
"Hornillo, El",id05100
Hoyocasero,id05101
"Hoyo de Pinares, El",id05102
Hoyorredondo,id05103
Hoyos del Collado,id05104
Hoyos del Espino,id05105
Hoyos de Miguel Muñoz,id05106
Hurtumpascual,id05107
Junciana,id05108
Langa,id05109
Lanzahíta,id05110
"Losar del Barco, El",id05112
"Llanos de Tormes, Los",id05113
Madrigal de las Altas Torres,id05114
Maello,id05115
Malpartida de Corneja,id05116
Mamblas,id05117
Mancera de Arriba,id05118
Manjabálago y Ortigosa de Rioalmar,id05119
Marlín,id05120
Martiherrero,id05121
Martínez,id05122
Mediana de Voltoya,id05123
Medinilla,id05124
Mengamuñoz,id05125
Mesegar de Corneja,id05126
Mijares,id05127
Mingorría,id05128
"Mirón, El",id05129
Mironcillo,id05130
Mirueña de los Infanzones,id05131
Mombeltrán,id05132
Monsalupe,id05133
Moraleja de Matacabras,id05134
Muñana,id05135
Muñico,id05136
Muñogalindo,id05138
Muñogrande,id05139
Muñomer del Peco,id05140
Muñopepe,id05141
Muñosancho,id05142
Muñotello,id05143
Narrillos del Álamo,id05144
Narrillos del Rebollar,id05145
Narros del Castillo,id05147
Narros del Puerto,id05148
Narros de Saldueña,id05149
Navacepedilla de Corneja,id05151
Nava de Arévalo,id05152
Nava del Barco,id05153
Navadijos,id05154
Navaescurial,id05155
Navahondilla,id05156
Navalacruz,id05157
Navalmoral,id05158
Navalonguilla,id05159
Navalosa,id05160
Navalperal de Pinares,id05161
Navalperal de Tormes,id05162
Navaluenga,id05163
Navaquesera,id05164
Navarredonda de Gredos,id05165
Navarredondilla,id05166
Navarrevisca,id05167
"Navas del Marqués, Las",id05168
Navatalgordo,id05169
Navatejares,id05170
Neila de San Miguel,id05171
Niharra,id05172
Ojos-Albos,id05173
Orbita,id05174
"Oso, El",id05175
Padiernos,id05176
Pajares de Adaja,id05177
Palacios de Goda,id05178
Papatrigo,id05179
"Parral, El",id05180
Pascualcobo,id05181
Pedro Bernardo,id05182
Pedro-Rodríguez,id05183
Peguerinos,id05184
Peñalba de Ávila,id05185
Piedrahíta,id05186
Piedralaves,id05187
Poveda,id05188
Poyales del Hoyo,id05189
Pozanco,id05190
Pradosegar,id05191
Puerto Castilla,id05192
Rasueros,id05193
Riocabado,id05194
Riofrío,id05195
Rivilla de Barajas,id05196
Salobral,id05197
Salvadiós,id05198
San Bartolomé de Béjar,id05199
San Bartolomé de Corneja,id05200
San Bartolomé de Pinares,id05201
Sanchidrián,id05204
Sanchorreja,id05205
San Esteban de los Patos,id05206
San Esteban del Valle,id05207
San Esteban de Zapardiel,id05208
San García de Ingelmos,id05209
San Juan de la Encinilla,id05210
San Juan de la Nava,id05211
San Juan del Molinillo,id05212
San Juan del Olmo,id05213
San Lorenzo de Tormes,id05214
San Martín de la Vega del Alberche,id05215
San Martín del Pimpollar,id05216
San Miguel de Corneja,id05217
San Miguel de Serrezuela,id05218
San Pascual,id05219
San Pedro del Arroyo,id05220
Santa Cruz del Valle,id05221
Santa Cruz de Pinares,id05222
Santa María del Arroyo,id05224
Santa María del Berrocal,id05225
Santa María de los Caballeros,id05226
Santa María del Tiétar,id05227
Santiago del Collado,id05228
Santo Domingo de las Posadas,id05229
Santo Tomé de Zabarcos,id05230
San Vicente de Arévalo,id05231
"Serrada, La",id05232
Serranillos,id05233
Sigeres,id05234
Sinlabajos,id05235
Solana de Ávila,id05236
Solana de Rioalmar,id05237
Solosancho,id05238
Sotalbo,id05239
Sotillo de la Adrada,id05240
"Tiemblo, El",id05241
Tiñosillos,id05242
Tolbaños,id05243
Tormellas,id05244
Tornadizos de Ávila,id05245
Tórtoles,id05246
"Torre, La",id05247
Umbrías,id05249
Vadillo de la Sierra,id05251
Valdecasa,id05252
Vega de Santa María,id05253
Velayos,id05254
Villaflor,id05256
Villafranca de la Sierra,id05257
Villanueva de Gómez,id05258
Villanueva del Aceral,id05259
Villanueva del Campillo,id05260
Villar de Corneja,id05261
Villarejo del Valle,id05262
Villatoro,id05263
Viñegra de Moraña,id05264
Vita,id05265
Zapardiel de la Cañada,id05266
Zapardiel de la Ribera,id05267
San Juan de Gredos,id05901
Santa María del Cubillo,id05902
Diego del Carpio,id05903
Santiago del Tormes,id05904
Villanueva de Ávila,id05905
Acedera,id06001
Aceuchal,id06002
Ahillones,id06003
Alange,id06004
"Albuera, La",id06005
Alburquerque,id06006
Alconchel,id06007
Alconera,id06008
Aljucén,id06009
Almendral,id06010
Almendralejo,id06011
Arroyo de San Serván,id06012
Atalaya,id06013
Azuaga,id06014
Badajoz,id06015
Barcarrota,id06016
Baterno,id06017
Benquerencia de la Serena,id06018
Berlanga,id06019
Bienvenida,id06020
Bodonal de la Sierra,id06021
Burguillos del Cerro,id06022
Cabeza del Buey,id06023
Cabeza la Vaca,id06024
Calamonte,id06025
Calera de León,id06026
Calzadilla de los Barros,id06027
Campanario,id06028
Campillo de Llerena,id06029
Capilla,id06030
Carmonita,id06031
"Carrascalejo, El",id06032
Casas de Don Pedro,id06033
Casas de Reina,id06034
Castilblanco,id06035
Castuera,id06036
"Codosera, La",id06037
Cordobilla de Lácara,id06038
"Coronada, La",id06039
Corte de Peleas,id06040
Cristina,id06041
Cheles,id06042
Don Álvaro,id06043
Don Benito,id06044
Entrín Bajo,id06045
Esparragalejo,id06046
Esparragosa de la Serena,id06047
Esparragosa de Lares,id06048
Feria,id06049
Fregenal de la Sierra,id06050
Fuenlabrada de los Montes,id06051
Fuente de Cantos,id06052
Fuente del Arco,id06053
Fuente del Maestre,id06054
Fuentes de León,id06055
Garbayuela,id06056
Garlitos,id06057
"Garrovilla, La",id06058
Granja de Torrehermosa,id06059
Guareña,id06060
"Haba, La",id06061
Helechosa de los Montes,id06062
Herrera del Duque,id06063
Higuera de la Serena,id06064
Higuera de Llerena,id06065
Higuera de Vargas,id06066
Higuera la Real,id06067
Hinojosa del Valle,id06068
Hornachos,id06069
Jerez de los Caballeros,id06070
"Lapa, La",id06071
Lobón,id06072
Llera,id06073
Llerena,id06074
Magacela,id06075
Maguilla,id06076
Malcocinado,id06077
Malpartida de la Serena,id06078
Manchita,id06079
Medellín,id06080
Medina de las Torres,id06081
Mengabril,id06082
Mérida,id06083
Mirandilla,id06084
Monesterio,id06085
Montemolín,id06086
Monterrubio de la Serena,id06087
Montijo,id06088
"Morera, La",id06089
"Nava de Santiago, La",id06090
Navalvillar de Pela,id06091
Nogales,id06092
Oliva de la Frontera,id06093
Oliva de Mérida,id06094
Olivenza,id06095
Orellana de la Sierra,id06096
Orellana la Vieja,id06097
Palomas,id06098
"Parra, La",id06099
Peñalsordo,id06100
Peraleda del Zaucejo,id06101
Puebla de Alcocer,id06102
Puebla de la Calzada,id06103
Puebla de la Reina,id06104
Puebla del Maestre,id06105
Puebla del Prior,id06106
Puebla de Obando,id06107
Puebla de Sancho Pérez,id06108
Quintana de la Serena,id06109
Reina,id06110
Rena,id06111
Retamal de Llerena,id06112
Ribera del Fresno,id06113
Risco,id06114
"Roca de la Sierra, La",id06115
Salvaleón,id06116
Salvatierra de los Barros,id06117
Sancti-Spíritus,id06118
San Pedro de Mérida,id06119
Santa Amalia,id06120
Santa Marta,id06121
"Santos de Maimona, Los",id06122
San Vicente de Alcántara,id06123
Segura de León,id06124
Siruela,id06125
Solana de los Barros,id06126
Talarrubias,id06127
Talavera la Real,id06128
Táliga,id06129
Tamurejo,id06130
Torre de Miguel Sesmero,id06131
Torremayor,id06132
Torremejía,id06133
Trasierra,id06134
Trujillanos,id06135
Usagre,id06136
Valdecaballeros,id06137
Valdetorres,id06138
Valencia de las Torres,id06139
Valencia del Mombuey,id06140
Valencia del Ventoso,id06141
Valverde de Burguillos,id06142
Valverde de Leganés,id06143
Valverde de Llerena,id06144
Valverde de Mérida,id06145
Valle de la Serena,id06146
Valle de Matamoros,id06147
Valle de Santa Ana,id06148
Villafranca de los Barros,id06149
Villagarcía de la Torre,id06150
Villagonzalo,id06151
Villalba de los Barros,id06152
Villanueva de la Serena,id06153
Villanueva del Fresno,id06154
Villar del Rey,id06155
Villar de Rena,id06156
Villarta de los Montes,id06157
Zafra,id06158
Zahínos,id06159
Zalamea de la Serena,id06160
Zarza-Capilla,id06161
"Zarza, La",id06162
Valdelacalzada,id06901
Pueblonuevo del Guadiana,id06902
Guadiana del Caudillo,id06903
Alaró,id07001
Alaior,id07002
Alcúdia,id07003
Algaida,id07004
Andratx,id07005
Artà,id07006
Banyalbufar,id07007
Binissalem,id07008
Búger,id07009
Bunyola,id07010
Calvià,id07011
Campanet,id07012
Campos,id07013
Capdepera,id07014
Ciutadella de Menorca,id07015
Consell,id07016
Costitx,id07017
Deià,id07018
Escorca,id07019
Esporles,id07020
Estellencs,id07021
Felanitx,id07022
Ferreries,id07023
Formentera,id07024
Fornalutx,id07025
Eivissa,id07026
Inca,id07027
Lloret de Vistalegre,id07028
Lloseta,id07029
Llubí,id07030
Llucmajor,id07031
Maó-Mahón,id07032
Manacor,id07033
Mancor de la Vall,id07034
Maria de la Salut,id07035
Marratxí,id07036
"Mercadal, Es",id07037
Montuïri,id07038
Muro,id07039
Palma de Mallorca,id07040
Petra,id07041
Pollença,id07042
Porreres,id07043
"Pobla, Sa",id07044
Puigpunyent,id07045
Sant Antoni de Portmany,id07046
Sencelles,id07047
Sant Josep de sa Talaia,id07048
Sant Joan,id07049
Sant Joan de Labritja,id07050
Sant Llorenç des Cardassar,id07051
Sant Lluís,id07052
Santa Eugènia,id07053
Santa Eulària des Riu,id07054
Santa Margalida,id07055
Santa María del Camí,id07056
Santanyí,id07057
Selva,id07058
"Salines, Ses",id07059
Sineu,id07060
Sóller,id07061
Son Servera,id07062
Valldemossa,id07063
"Castell, Es",id07064
Vilafranca de Bonany,id07065
Ariany,id07901
"Migjorn Gran, Es",id07902
Abrera,id08001
Aguilar de Segarra,id08002
Alella,id08003
Alpens,id08004
"Ametlla del Vallès, L'",id08005
Arenys de Mar,id08006
Arenys de Munt,id08007
Argençola,id08008
Argentona,id08009
Artés,id08010
Avià,id08011
Avinyó,id08012
Avinyonet del Penedès,id08013
Aiguafreda,id08014
Badalona,id08015
Bagà,id08016
Balenyà,id08017
Balsareny,id08018
Barcelona,id08019
Begues,id08020
Bellprat,id08021
Berga,id08022
Bigues i Riells,id08023
Borredà,id08024
"Bruc, El",id08025
"Brull, El",id08026
"Cabanyes, Les",id08027
Cabrera d'Anoia,id08028
Cabrera de Mar,id08029
Cabrils,id08030
Calaf,id08031
Caldes d'Estrac,id08032
Caldes de Montbui,id08033
Calders,id08034
Calella,id08035
Calonge de Segarra,id08036
Calldetenes,id08037
Callús,id08038
Campins,id08039
Canet de Mar,id08040
Canovelles,id08041
Cànoves i Samalús,id08042
Canyelles,id08043
Capellades,id08044
Capolat,id08045
Cardedeu,id08046
Cardona,id08047
Carme,id08048
Casserres,id08049
Castellar del Riu,id08050
Castellar del Vallès,id08051
Castellar de n'Hug,id08052
Castellbell i el Vilar,id08053
Castellbisbal,id08054
Castellcir,id08055
Castelldefels,id08056
Castell de l'Areny,id08057
Castellet i la Gornal,id08058
Castellfollit del Boix,id08059
Castellfollit de Riubregós,id08060
Castellgalí,id08061
Castellnou de Bages,id08062
Castellolí,id08063
Castellterçol,id08064
Castellví de la Marca,id08065
Castellví de Rosanes,id08066
Centelles,id08067
Cervelló,id08068
Collbató,id08069
Collsuspina,id08070
Copons,id08071
Corbera de Llobregat,id08072
Cornellà de Llobregat,id08073
Cubelles,id08074
Dosrius,id08075
Esparreguera,id08076
Esplugues de Llobregat,id08077
"Espunyola, L'",id08078
"Estany, L'",id08079
Fígols,id08080
Fogars de Montclús,id08081
Fogars de la Selva,id08082
Folgueroles,id08083
Fonollosa,id08084
Font-rubí,id08085
"Franqueses del Vallès, Les",id08086
Gallifa,id08087
"Garriga, La",id08088
Gavà,id08089
Gaià,id08090
Gelida,id08091
Gironella,id08092
Gisclareny,id08093
"Granada, La",id08094
Granera,id08095
Granollers,id08096
Gualba,id08097
Sant Salvador de Guardiola,id08098
Guardiola de Berguedà,id08099
Gurb,id08100
"Hospitalet de Llobregat, L'",id08101
Igualada,id08102
Jorba,id08103
"Llacuna, La",id08104
"Llagosta, La",id08105
Llinars del Vallès,id08106
Lliçà d'Amunt,id08107
Lliçà de Vall,id08108
Lluçà,id08109
Malgrat de Mar,id08110
Malla,id08111
Manlleu,id08112
Manresa,id08113
Martorell,id08114
Martorelles,id08115
"Masies de Roda, Les",id08116
"Masies de Voltregà, Les",id08117
"Masnou, El",id08118
Masquefa,id08119
Matadepera,id08120
Mataró,id08121
Mediona,id08122
Molins de Rei,id08123
Mollet del Vallès,id08124
Montcada i Reixac,id08125
Montgat,id08126
Monistrol de Montserrat,id08127
Monistrol de Calders,id08128
Muntanyola,id08129
Montclar,id08130
Montesquiu,id08131
Montmajor,id08132
Montmaneu,id08133
Figaró-Montmany,id08134
Montmeló,id08135
Montornès del Vallès,id08136
Montseny,id08137
Moià,id08138
Mura,id08139
Navarcles,id08140
Navàs,id08141
"Nou de Berguedà, La",id08142
Òdena,id08143
Olvan,id08144
Olèrdola,id08145
Olesa de Bonesvalls,id08146
Olesa de Montserrat,id08147
Olivella,id08148
Olost,id08149
Orís,id08150
Oristà,id08151
Orpí,id08152
Òrrius,id08153
Pacs del Penedès,id08154
Palafolls,id08155
Palau-solità i Plegamans,id08156
Pallejà,id08157
"Papiol, El",id08158
Parets del Vallès,id08159
Perafita,id08160
Piera,id08161
"Hostalets de Pierola, Els",id08162
Pineda de Mar,id08163
"Pla del Penedès, El",id08164
"Pobla de Claramunt, La",id08165
"Pobla de Lillet, La",id08166
Polinyà,id08167
Pontons,id08168
"Prat de Llobregat, El",id08169
"Prats de Rei, Els",id08170
Prats de Lluçanès,id08171
Premià de Mar,id08172
Puigdàlber,id08174
Puig-reig,id08175
Pujalt,id08176
"Quar, La",id08177
Rajadell,id08178
Rellinars,id08179
Ripollet,id08180
"Roca del Vallès, La",id08181
"Pont de Vilomara i Rocafort, El",id08182
Roda de Ter,id08183
Rubí,id08184
Rubió,id08185
Sabadell,id08187
Sagàs,id08188
Sant Pere Sallavinera,id08189
Saldes,id08190
Sallent,id08191
Santpedor,id08192
Sant Iscle de Vallalta,id08193
Sant Adrià de Besòs,id08194
Sant Agustí de Lluçanès,id08195
Sant Andreu de la Barca,id08196
Sant Andreu de Llavaneres,id08197
Sant Antoni de Vilamajor,id08198
Sant Bartomeu del Grau,id08199
Sant Boi de Llobregat,id08200
Sant Boi de Lluçanès,id08201
Sant Celoni,id08202
Sant Cebrià de Vallalta,id08203
Sant Climent de Llobregat,id08204
Sant Cugat del Vallès,id08205
Sant Cugat Sesgarrigues,id08206
Sant Esteve de Palautordera,id08207
Sant Esteve Sesrovires,id08208
Sant Fost de Campsentelles,id08209
Sant Feliu de Codines,id08210
Sant Feliu de Llobregat,id08211
Sant Feliu Sasserra,id08212
Sant Fruitós de Bages,id08213
Vilassar de Dalt,id08214
Sant Hipòlit de Voltregà,id08215
Sant Jaume de Frontanyà,id08216
Sant Joan Despí,id08217
Sant Joan de Vilatorrada,id08218
Vilassar de Mar,id08219
Sant Julià de Vilatorta,id08220
Sant Just Desvern,id08221
Sant Llorenç d'Hortons,id08222
Sant Llorenç Savall,id08223
Sant Martí de Centelles,id08224
Sant Martí d'Albars,id08225
Sant Martí de Tous,id08226
Sant Martí Sarroca,id08227
Sant Martí Sesgueioles,id08228
Sant Mateu de Bages,id08229
Premià de Dalt,id08230
Sant Pere de Ribes,id08231
Sant Pere de Riudebitlles,id08232
Sant Pere de Torelló,id08233
Sant Pere de Vilamajor,id08234
Sant Pol de Mar,id08235
Sant Quintí de Mediona,id08236
Sant Quirze de Besora,id08237
Sant Quirze del Vallès,id08238
Sant Quirze Safaja,id08239
Sant Sadurní d'Anoia,id08240
Sant Sadurní d'Osormort,id08241
Marganell,id08242
Santa Cecília de Voltregà,id08243
Santa Coloma de Cervelló,id08244
Santa Coloma de Gramenet,id08245
Santa Eugènia de Berga,id08246
Santa Eulàlia de Riuprimer,id08247
Santa Eulàlia de Ronçana,id08248
Santa Fe del Penedès,id08249
Santa Margarida de Montbui,id08250
Santa Margarida i els Monjos,id08251
Barberà del Vallès,id08252
Santa Maria de Besora,id08253
"Esquirol, L'",id08254
Santa Maria de Merlès,id08255
Santa Maria de Martorelles,id08256
Santa Maria de Miralles,id08257
Santa Maria d'Oló,id08258
Santa Maria de Palautordera,id08259
Santa Perpètua de Mogoda,id08260
Santa Susanna,id08261
Sant Vicenç de Castellet,id08262
Sant Vicenç dels Horts,id08263
Sant Vicenç de Montalt,id08264
Sant Vicenç de Torelló,id08265
Cerdanyola del Vallès,id08266
Sentmenat,id08267
Cercs,id08268
Seva,id08269
Sitges,id08270
Sobremunt,id08271
Sora,id08272
Subirats,id08273
Súria,id08274
Tavèrnoles,id08275
Tagamanent,id08276
Talamanca,id08277
Taradell,id08278
Terrassa,id08279
Tavertet,id08280
Teià,id08281
Tiana,id08282
Tona,id08283
Tordera,id08284
Torelló,id08285
"Torre de Claramunt, La",id08286
